#,Country (or dependency),Population,Land Area,Migrants,,,,,,,
,,,,,,,,,,,
134,Uruguay,"3,473,730","175,020","-3,000",,,,,,,
135,Bosnia and Herzegovina,"3,280,819","51,000","-21,585",,,,,,,
136,Mongolia,"3,278,290","1,553,560",-852,,,,,,,
137,Armenia,"2,963,243","28,470","-4,998",,,,,,,
138,Jamaica,"2,961,167","10,830","-11,332",,,,,,,
139,Qatar,"2,881,053","11,610","40,000",,,,,,,
140,Albania,"2,877,797","27,400","-14,000",,,,,,,
141,Puerto Rico,"2,860,853","8,870","-97,986",,,,,,,
142,Lithuania,"2,722,289","62,674","-32,780",,,,,,,
143,Namibia,"2,540,905","823,290","-4,806",,,,,,,
144,Gambia,"2,416,668","10,120","-3,087",,,,,,,
145,Botswana,"2,351,627","566,730","3,000",,,,,,,
146,Gabon,"2,225,734","257,670","3,260",,,,,,,
147,Lesotho,"2,142,249","30,360","-10,047",,,,,,,
148,North Macedonia,"2,083,374","25,220","-1,000",,,,,,,
149,Slovenia,"2,078,938","20,140","2,000",,,,,,,
150,Guinea-Bissau,"1,968,001","28,120","-1,399",,,,,,,
151,Latvia,"1,886,198","62,200","-14,837",,,,,,,
152,Bahrain,"1,701,575",760,"47,800",,,,,,,
153,Equatorial Guinea,"1,402,985","28,050","16,000",,,,,,,
154,Trinidad and Tobago,"1,399,488","5,130",-800,,,,,,,
155,Estonia,"1,326,535","42,390","3,911",,,,,,,
156,Timor-Leste,"1,318,445","14,870","-5,385",,,,,,,
157,Mauritius,"1,271,768","2,030",0,,,,,,,
158,Cyprus,"1,207,359","9,240","5,000",,,,,,,
159,Eswatini,"1,160,164","17,200","-8,353",,,,,,,
160,Djibouti,"988,000","23,180",900,,,,,,,
161,Fiji,"896,445","18,270","-6,202",,,,,,,
162,Réunion,"895,312","2,500","-1,256",,,,,,,
163,Comoros,"869,601","1,861","-2,000",,,,,,,
164,Guyana,"786,552","196,850","-6,000",,,,,,,
165,Bhutan,"771,608","38,117",320,,,,,,,
166,Solomon Islands,"686,884","27,990","-1,600",,,,,,,
167,Macao,"649,335",30,"5,000",,,,,,,
168,Montenegro,"628,066","13,450",-480,,,,,,,
169,Luxembourg,"625,978","2,590","9,741",,,,,,,
170,Western Sahara,"597,339","266,000","5,582",,,,,,,
171,Suriname,"586,632","156,000","-1,000",,,,,,,
172,Cabo Verde,"555,987","4,030","-1,342",,,,,,,
173,Micronesia,"548,914",700,"-2,957",,,,,,,
174,Maldives,"540,544",300,"11,370",,,,,,,
175,Malta,"441,543",320,900,,,,,,,
176,Brunei,"437,479","5,270",0,,,,,,,
177,Guadeloupe,"400,124","1,690","-1,440",,,,,,,
178,Belize,"397,628","22,810","1,200",,,,,,,
179,Bahamas,"393,244","10,010","1,000",,,,,,,
180,Martinique,"375,265","1,060",-960,,,,,,,
181,Iceland,"341,243","100,250",380,,,,,,,
182,Vanuatu,"307,145","12,190",120,,,,,,,
183,French Guiana,"298,682","82,200","1,200",,,,,,,
184,Barbados,"287,375",430,-79,,,,,,,
185,New Caledonia,"285,498","18,280",502,,,,,,,
186,French Polynesia,"280,908","3,660","-1,000",,,,,,,
187,Mayotte,"272,815",375,0,,,,,,,
188,Sao Tome & Principe,"219,159",960,"-1,680",,,,,,,
189,Samoa,"198,414","2,830","-2,803",,,,,,,
190,Saint Lucia,"183,627",610,0,,,,,,,
191,Channel Islands,"173,863",190,"1,351",,,,,,,
192,Guam,"168,775",540,-506,,,,,,,
193,Curaçao,"164,093",444,515,,,,,,,
194,Kiribati,"119,449",810,-800,,,,,,,
195,Grenada,"112,523",340,-200,,,,,,,
196,St. Vincent & Grenadines,"110,940",390,-200,,,,,,,
197,Aruba,"106,766",180,201,,,,,,,
198,Tonga,"105,695",720,-800,,,,,,,
199,U.S. Virgin Islands,"104,425",350,-451,,,,,,,
200,Seychelles,"98,347",460,-200,,,,,,,
201,Antigua and Barbuda,"97,929",440,0,,,,,,,
202,Isle of Man,"85,033",570,,,,,,,,
203,Andorra,"77,265",470,,,,,,,,
204,Dominica,"71,986",750,,,,,,,,
205,Cayman Islands,"65,722",240,,,,,,,,
206,Bermuda,"62,278",50,,,,,,,,
207,Marshall Islands,"59,190",180,,,,,,,,
208,Northern Mariana Islands,"57,559",460,,,,,,,,
209,Greenland,"56,770","410,450",,,,,,,,
210,American Samoa,"55,191",200,,,,,,,,
211,Saint Kitts & Nevis,"53,199",260,,,,,,,,
212,Faeroe Islands,"48,863","1,396",,,,,,,,
213,Sint Maarten,"42,876",34,,,,,,,,
214,Monaco,"39,242",1,,,,,,,,
215,Turks and Caicos,"38,717",950,,,,,,,,
216,Saint Martin,"38,666",53,,,,,,,,
217,Liechtenstein,"38,128",160,,,,,,,,
218,San Marino,"33,931",60,,,,,,,,
219,Gibraltar,"33,691",10,,,,,,,,
220,British Virgin Islands,"30,231",150,,,,,,,,
221,Caribbean Netherlands,"26,223",328,,,,,,,,
222,Palau,"18,094",460,,,,,,,,
223,Cook Islands,"17,564",240,,,,,,,,
224,Anguilla,"15,003",90,,,,,,,,
225,Tuvalu,"11,792",30,,,,,,,,
226,Wallis & Futuna,"11,239",140,,,,,,,,
227,Nauru,"10,824",20,,,,,,,,
228,Saint Barthelemy,"9,877",21,,,,,,,,
229,Saint Helena,"6,077",390,,,,,,,,
230,Saint Pierre & Miquelon,"5,794",230,,,,,,,,
231,Montserrat,"4,992",100,,,,,,,,
232,Falkland Islands,"3,480","12,170",,,,,,,,
233,Niue,"1,626",260,,,,,,,,
234,Tokelau,"1,357",10,,,,,,,,
235,Holy See,801,0,,,,,,,,
